,0
0,Principles of Accounting Volume 2 Managerial Accounting
1,Principles of Accounting Volume 1 Financial Accounting
2,Introduction to Financial Accounting: U.S. GAAP Adaptation
3,Principles of Financial Accounting
4,Financial Strategy for Public Managers
5,Intermediate Financial Accounting Volume 2
6,Korean Through Folktales
7,Intermediate Financial Accounting Volume 1
8,Accounting Principles: A Business Perspective
9,Deutsch im Blick - 2nd Edition
10,Health and Safety in Canadian Workplaces
11,Guidelines for Improving the Effectiveness of Boards of Directors of Nonprofit Organizations
12,Building Strategy and Performance
13,Focusing on Organizational Change
14,Human Relations
15,Leading with Cultural Intelligence
16,Human Resource Management
17,Organizational Behavior
18,Problem Solving in Teams and Groups
19,Organizational Behavior
20,Principles of Management
21,Digital Accessibility as a Business Practice
22,Management Communication
23,Fundamentals of Business: Canadian Edition
24,Technical Project Management in Living and Geometric Order
25,Business Ethics
26,Introduction to Business
27,Corporate Governance
28,eMarketing - The Essential Guide to Online Marketing
29,Introducing Marketing
30,Growth and Competitive Strategy in 3 Circles
31,Developing New Products and Services
32,The Power of Selling
33,Principles of Marketing
34,Launch! Advertising and Promotion in Real Time
35,eMarketing: The Essential Guide to Marketing in a Digital World
36,Computer Networks: A Systems Approach
37,Introduction to Programming using Fortran 95/2003/2008
38,MIPS Assembly Language Programming using QtSpim
39,x86-64 Assembly Language Programming with Ubuntu
40,Agent-Based Evolutionary Game Dynamics
41,Professional Web Accessibility Auditing Made Easy
42,Web Accessibility for Developers
43,Making Games with Python & Pygame
44,An Introduction to Matlab and Mathcad
45,Delftse Foundations of Computation
46,Principles of Political Economy
47,Principles of Microeconomics: Scarcity and Social Provisioning
48,Boundless Economics
49,An Introduction to Cooperation and Mutualism
50,The Economics of Food and Agricultural Markets - 2nd Edition
51,"Macroeconomics: Theory, Models & Policy"
52,Sustaining the Commons
53,International Economics: Theory and Policy
54,"Good Corporation, Bad Corporation: Corporate Social Responsibility in the Global Economy"
55,"Microeconomics: Markets, Methods and Models"
56,Bad Ideas About Writing
57,Trauma-Informed School Practices: Building Expertise To Transform Schools
58,Sharing Our Knowledge: Best Practices for Supporting English Language Learners in Schools
59,Creating Online Learning Experiences
60,Oregon Writes Open Writing Text
61,Learning to Learn Online
62,"Write Here, Right Now: An Interactive Introduction to Academic Writing and Research"
63,Guía Para Realizar Textos Abiertos Con Estudiantes
64,Desafíos De La Formación Ciudadana En La Era Digital: Estadodelarte
65,EVALUACIÓN DEL APRENDIZAJE EN INGLÉS
66,Microwave and RF Design: Amplifiers and Oscillators
67,Microwave and RF Design: Modules
68,Microwave and RF Design: Networks
69,Microwave and RF Design: Transmission Lines
70,Microwave and RF Design: Radio Systems
71,Fundamentals of Microwave and RF Design
72,Dredging Engineering: Special Topics
73,Building Information - Representation and Management: Fundamentals and Principles
74,Introduction to Aerospace Structures and Materials
75,Chemical Process Dynamics and Controls
76,Introduction to Philosophy: Ethics
77,"Responsible Innovation: Ethics, Safety and Technology"
78,Tout un Monde: An Interdisciplinary Approach to Intermediate French
79,Libro Libre: Beginning Spanish
80,The American Yawp Vol. II: Since 1877
81,The American Yawp Vol. I: To 1877
82,Introduction to Philosophy: Philosophy of Mind
83,"English Composition: Connect, Collaborate, Communicate"
84,ClicaBrasil: Portuguese Language and Culture for Intermediate Students
85,Interpreting Love Narratives in East Asian Literature and Film
86,An Introduction to Technical Theatre
87,Music Fundamentals 1: Pitch and Major Scales and Keys
88,Music Fundamentals 2: Rhythm and Meter
89,Sound Reasoning
90,Exploring Movie Construction & Production: What’s so exciting about movies?
91,"Music: Its Language, History, and Culture"
92,Understanding Music: Past and Present
93,"Introduction to Art: Design, Context, and Meaning"
94,Graphic Design and Print Production Fundamentals
95,Music and the Child
96,The American Yawp Vol. II: Since 1877
97,The American Yawp Vol. I: To 1877
98,History of International Relations
99,Mythology Unbound: An Online Textbook for Classical Mythology
100,Western Civilization: A Concise History -  Volume 3
101,Western Civilization: A Concise History -  Volume 2
102,Western Civilization: A Concise History -  Volume 1
103,Canadian History: Post-Confederation
104,American Environmental History
105,Keys to Understanding the Middle East
106,Tout un Monde: An Interdisciplinary Approach to Intermediate French
107,Libro Libre: Beginning Spanish
108,ClicaBrasil: Portuguese Language and Culture for Intermediate Students
109,Brehe’s Grammar Anatomy
110,A grammar of Komnzo
111,A grammar of Moloko
112,A grammar of Pite Saami
113,A grammar of Yauyos Quechua
114,A grammar of Yakkha
115,A grammar of Papuan Malay
116,The Unicode cookbook for linguists: Managing writing systems using orthography profiles
117,"English Composition: Connect, Collaborate, Communicate"
118,Interpreting Love Narratives in East Asian Literature and Film
119,Let's Get Writing!
120,Becoming America: An Exploration of American Literature from Precolonial to Post-Revolution
121,British Literature I Anthology: From the Middle Ages to Neoclassicism and the Eighteenth Century
122,"Writing and Literature: Composition as Inquiry, Learning, Thinking, and Communication"
123,British Literature II: Romantic Era to the Twentieth Century and Beyond
124,EmpoWord: A Student-Centered Anthology & Handbook for College Writers
125,"You, Writing! A Guide to College Composition"
126,College ESL Writers: Applied Grammar and Composing Strategies for Success
127,Introduction to Philosophy: Ethics
128,"Responsible Innovation: Ethics, Safety and Technology"
129,Introduction to Philosophy: Philosophy of Mind
130,Logical Reasoning
